Ranking,Country,Region,Happiness_Score,GDP_per_capita,Social_Support,Healthy_Life_Expectancy,Freedom,Generosity,Corruption,Year,GDP_Growth,Inflation,Unemployment
142,Senegal,Sub-Saharan Africa,3.904,2.15909,0.69617,54,0.54905,0.26188,0.80589,2015,3.15103873013858,1.06978461964601,6.757
143,Gabon,Sub-Saharan Africa,3.896,6.27204,0.6456,54,0.47653,0.08571,0.79905,2015,0.693296575495864,-8.92717245327955,19.943
144,Niger,Sub-Saharan Africa,3.845,0.41055,0.55101,49,0.7121,0.24359,0.71664,2015,0.604320140159473,2.249426436212,0.556
145,Cambodia,Southeast Asia,3.819,2.72347,0.4474,61,0.98914,0.5071,0.86869,2015,5.652931676093,3.06935934141643,0.393
146,Tanzania,Sub-Saharan Africa,3.781,1.68716,0.71506,53,0.49091,0.43194,0.89588,2015,2.77038211960942,7.59136402332241,2.009
147,Madagascar,Sub-Saharan Africa,3.681,1.23192,0.47639,56,0.28644,0.26805,0.8528,2015,0.445748708056158,6.5037166915161,1.785
148,Central African Republic,Sub-Saharan Africa,3.678,0.46439,0.0,41,0.72984,0.29948,0.84981,2015,4.19878078824811,2.70826310785282,5.775
149,Chad,Sub-Saharan Africa,3.667,2.02275,0.54243,44,0.3509,0.23102,0.90454,2015,0.0674074942708955,-6.99206965994387,1.032
150,Guinea,Sub-Saharan Africa,3.656,1.03032,0.33144,47,0.56329,0.36006,0.78006,2015,1.2305341257089,2.9722848994975,5.15
152,Burkina Faso,Sub-Saharan Africa,3.587,1.52693,0.60752,49,0.58968,0.27324,0.7675,2015,0.888259827767996,-2.22395417919314,4.472
153,Afghanistan,South Asia,3.575,1.89197,0.21598,50,0.3496,0.45874,0.82391,2015,-1.66505744749013,2.44756300147404,9.032
154,Rwanda,Sub-Saharan Africa,3.465,1.31375,0.55176,54,0.88395,0.28431,0.0,2015,6.28259221925458,0.485928791648902,11.831
155,Benin,Sub-Saharan Africa,3.34,1.69577,0.25236,50,0.72342,0.22943,0.85487,2015,-1.18432043750336,0.85150426118021,1.886
